time,values
457 ,1065
458 ,1062
459 ,1062
460 ,1059
461 ,1065
462 ,1062
463 ,1062
464 ,1059
465 ,1065
466 ,1065
467 ,1062
468 ,1062
469 ,1062
470 ,1065
471 ,1062
472 ,1065
473 ,1065
474 ,1065
475 ,1059
476 ,1062
477 ,1062
478 ,1068
479 ,1065
480 ,1062
481 ,1065
482 ,1062
483 ,1065
484 ,1062
485 ,1062
486 ,1065
487 ,1065
488 ,1065
489 ,1065
490 ,1065
491 ,1059
492 ,1062
493 ,1065
494 ,1062
495 ,1062
496 ,1065
497 ,1062
498 ,1065
499 ,1062
500 ,1062
501 ,1065
502 ,1062
503 ,1068
504 ,1065
505 ,1062
506 ,1065
507 ,1065
508 ,1068
509 ,1065
510 ,1065
511 ,1062
512 ,1068
513 ,1065
514 ,1059
515 ,1062
516 ,1065
517 ,1062
518 ,1062
519 ,1065
520 ,1062
521 ,1062
522 ,1062
523 ,1062
524 ,1065
525 ,1065
526 ,1062
527 ,1065
528 ,1065
529 ,1062
530 ,1065
531 ,1065
532 ,1062
533 ,1065
534 ,1065
535 ,1065
536 ,1062
537 ,1065
538 ,1062
539 ,1059
540 ,1050
541 ,1059
542 ,1062
543 ,1068
544 ,1059
545 ,1068
546 ,1065
547 ,1077
548 ,1077
549 ,1083
550 ,1083
551 ,1077
552 ,1071
553 ,1050
554 ,1047
555 ,1032
556 ,1029
557 ,1020
558 ,1020
559 ,1017
560 ,1020
561 ,1020
562 ,1023
563 ,1014
564 ,1017
565 ,1023
566 ,1017
567 ,1023
568 ,1023
569 ,1020
570 ,1017
571 ,1017
572 ,1020
573 ,1017
574 ,1023
575 ,1023
576 ,1023
577 ,1023
578 ,1020
579 ,1017
580 ,1023
581 ,1017
582 ,1017
583 ,1020
584 ,1023
585 ,1020
586 ,1026
587 ,1029
588 ,1026
589 ,1026
590 ,1026
591 ,1032
592 ,1029
593 ,1029
594 ,1029
595 ,1026
596 ,1026
597 ,1026
598 ,1029
599 ,1026
600 ,1026
601 ,1029
602 ,1026
603 ,1026
604 ,1023
605 ,1023
606 ,1026
607 ,1026
608 ,1023
609 ,1029
610 ,1029
611 ,1023
612 ,1026
613 ,1023
614 ,1029
615 ,1023
616 ,1026
617 ,1026
618 ,1020
619 ,1026
620 ,1026
621 ,1023
622 ,1023
623 ,1026
624 ,1026
625 ,1029
626 ,1023
627 ,1026
628 ,1029
629 ,1029
630 ,1020
631 ,1023
632 ,1023
633 ,1026
634 ,1023
635 ,1023
636 ,1026
637 ,1026
638 ,1023
639 ,1023
640 ,1026
641 ,1023
642 ,1029
643 ,1023
644 ,1026
645 ,1023
646 ,1023
647 ,1023
648 ,1023
649 ,1023
650 ,1023
651 ,1026
652 ,1026
653 ,1023
654 ,1023
655 ,1023
656 ,1026
657 ,1026
658 ,1026
659 ,1020
660 ,1023
661 ,1026
662 ,1023
663 ,1023
664 ,1020
665 ,1023
666 ,1023
667 ,1023
668 ,1026
669 ,1020
670 ,1032
671 ,1032
672 ,1029
673 ,1026
674 ,1029
675 ,1029
676 ,1029
677 ,1026
678 ,1029
679 ,1032
680 ,1029
681 ,1026
682 ,1029
683 ,1029
684 ,1026
685 ,1023
686 ,1029
687 ,1035
688 ,1044
689 ,1032
690 ,1038
691 ,1023
